id,home_team,away_team,temperature,humidity,attendance,match_datetime,section_encoded,venue_capacity,venue_encoded,round_encoded,weather_encoded,num_broadcasters
9190,G大阪,浦和,8.3,40,20916,2006-03-04 16:04:00,1,21000,0,1,0,2
9191,甲府,清水,12.9,28,14277,2006-03-05 13:00:00,1,15859,1,2,0,3
9192,FC東京,大分,12.1,35,22531,2006-03-05 13:35:00,1,47851,2,2,0,3
9193,磐田,福岡,11.6,42,28564,2006-03-05 14:04:00,1,51697,3,2,0,1
9194,名古屋,C大阪,13.1,32,17199,2006-03-05 14:04:00,1,20223,4,2,0,4
9195,大宮,千葉,12.6,33,13085,2006-03-05 15:03:00,1,62010,5,2,0,3
9196,川崎F,新潟,13.3,34,17444,2006-03-05 15:00:00,1,26232,6,2,0,1
9197,広島,鹿島,12.4,58,17564,2006-03-05 15:06:00,1,36894,7,2,1,2
9198,横浜FM,京都,12.6,34,23607,2006-03-05 15:35:00,1,71624,8,2,0,3
9199,浦和,磐田,16.0,48,56512,2006-03-11 14:04:00,2,62010,5,1,0,4
9200,千葉,甲府,15.3,51,11896,2006-03-11 15:02:00,2,19470,9,1,0,4
9201,新潟,FC東京,15.4,43,40266,2006-03-11 15:04:00,2,41684,10,1,1,2
9202,清水,名古屋,13.6,70,13054,2006-03-11 15:04:00,2,20248,11,1,1,2
9203,鹿島,横浜FM,13.8,66,22454,2006-03-11 16:03:00,2,38620,12,1,0,2
9204,京都,川崎F,16.4,50,7921,2006-03-11 16:06:00,2,20588,13,1,0,4
9205,福岡,大宮,15.4,66,12040,2006-03-11 19:04:00,2,22331,14,1,1,3
9206,大分,広島,9.4,54,17043,2006-03-12 14:06:00,2,31997,15,2,3,2
9207,C大阪,G大阪,10.6,67,30561,2006-03-12 15:06:00,2,47853,16,2,1,2
9208,FC東京,清水,14.8,44,19011,2006-03-18 14:04:00,3,47851,2,1,9,3
9209,磐田,京都,11.6,80,10560,2006-03-18 14:03:00,3,15165,17,1,2,3
9210,広島,浦和,8.4,87,16742,2006-03-18 14:05:00,3,36894,7,1,2,3
9211,大宮,新潟,15.3,46,9368,2006-03-18 15:01:00,3,62010,5,1,1,2
9212,甲府,川崎F,14.7,39,9082,2006-03-18 15:04:00,3,15859,1,1,1,2
9213,名古屋,鹿島,10.3,73,22651,2006-03-18 15:33:00,3,43739,18,1,3,2
9214,千葉,福岡,13.9,58,8567,2006-03-18 16:04:00,3,19470,9,1,4,1
9215,横浜FM,C大阪,12.3,76,19307,2006-03-18 16:05:00,3,71624,8,1,2,2
9216,G大阪,大分,9.0,79,8388,2006-03-18 19:04:00,3,21000,0,1,2,2
9217,鹿島,甲府,15.3,24,14815,2006-03-21 14:04:00,4,38620,12,1,0,2
9218,福岡,名古屋,12.5,47,8585,2006-03-21 14:04:00,4,22331,14,1,4,3
9219,浦和,C大阪,16.5,25,43815,2006-03-21 15:04:00,4,62010,5,1,0,3
9220,新潟,磐田,7.3,43,37585,2006-03-21 15:01:00,4,41684,10,1,1,2
9221,清水,千葉,13.9,32,12114,2006-03-21 15:04:00,4,20248,11,1,0,2
9222,大分,横浜FM,13.4,50,17341,2006-03-21 15:04:00,4,31997,15,1,9,1
9223,川崎F,FC東京,16.4,24,14191,2006-03-21 16:04:00,4,26232,6,1,0,2
9224,京都,広島,9.1,66,5556,2006-03-21 19:04:00,4,20588,13,1,0,3
9225,G大阪,大宮,5.9,42,9019,2006-03-29 19:02:00,4,21000,0,2,1,2
9226,大宮,清水,15.3,31,7354,2006-03-25 15:00:00,5,21500,19,1,0,1
9227,磐田,川崎F,13.6,58,11835,2006-03-25 15:04:00,5,15165,17,1,0,2
9228,C大阪,新潟,12.8,30,9442,2006-03-25 15:02:00,5,47853,16,1,0,2
9229,広島,G大阪,14.3,29,13067,2006-03-25 15:04:00,5,36894,7,1,0,1
9230,横浜FM,浦和,13.9,45,50572,2006-03-25 15:34:00,5,71624,8,1,0,2
9231,甲府,福岡,11.4,46,8604,2006-03-25 18:05:00,5,15859,1,1,0,2
9232,千葉,鹿島,9.9,63,16546,2006-03-25 19:04:00,5,19470,9,1,0,2
9233,名古屋,大分,15.9,44,11878,2006-03-26 14:05:00,5,20223,4,2,0,3
9234,FC東京,京都,16.1,38,17033,2006-03-26 16:04:00,5,47851,2,2,1,3
9235,横浜FM,FC東京,13.8,46,20977,2006-04-01 15:02:00,6,71624,8,1,0,2
9236,C大阪,甲府,13.1,33,6282,2006-04-01 15:04:00,6,47853,16,1,1,3
9237,清水,G大阪,10.0,64,10661,2006-04-01 19:04:00,6,20248,11,1,1,2
9238,京都,福岡,16.0,85,3670,2006-04-02 14:04:00,6,20588,13,2,2,3
9239,鹿島,大宮,16.9,69,11747,2006-04-02 15:04:00,6,38620,12,2,4,1
9240,川崎F,千葉,15.6,83,10316,2006-04-02 15:00:00,6,26232,6,2,2,1
9241,新潟,広島,10.5,71,34071,2006-04-02 15:04:00,6,41684,10,2,2,2
9242,大分,磐田,21.2,29,17406,2006-04-02 15:04:00,6,31997,15,2,3,2
9243,浦和,名古屋,15.9,79,44625,2006-04-02 16:04:00,6,62010,5,2,4,3
9244,甲府,新潟,7.9,45,14599,2006-04-08 14:00:00,7,20396,20,1,1,4
9245,大宮,横浜FM,17.4,28,8370,2006-04-08 15:05:00,7,21500,19,1,0,2
9246,千葉,C大阪,14.8,53,8770,2006-04-08 15:02:00,7,19470,9,1,14,2
9247,名古屋,京都,13.9,37,15311,2006-04-08 15:04:00,7,43739,18,1,3,3
9248,広島,川崎F,19.1,17,7418,2006-04-08 15:04:00,7,36894,7,1,0,1
9249,FC東京,磐田,15.5,25,24214,2006-04-08 16:03:00,7,47851,2,1,0,2
9250,G大阪,鹿島,12.9,31,17967,2006-04-08 19:04:00,7,21000,0,1,1,2
9251,清水,大分,18.6,37,10039,2006-04-09 13:04:00,7,20248,11,2,0,3
9252,福岡,浦和,20.3,28,21545,2006-04-09 15:05:00,7,22331,14,2,1,2
9253,鹿島,清水,10.4,51,12361,2006-04-15 15:02:00,8,38620,12,1,0,2
9254,浦和,京都,13.8,35,40657,2006-04-15 15:05:00,8,62010,5,1,0,4
9255,C大阪,福岡,12.5,71,10421,2006-04-15 15:04:00,8,47853,16,1,2,2
9256,大分,甲府,10.6,87,15138,2006-04-15 15:04:00,8,31997,15,1,3,3
9257,新潟,名古屋,15.6,24,39322,2006-04-15 15:34:00,8,41684,10,1,10,2
9258,FC東京,千葉,12.4,29,21190,2006-04-15 16:04:00,8,47851,2,1,0,2
9259,横浜FM,G大阪,10.7,36,28885,2006-04-15 19:04:00,8,71624,8,1,0,2
9260,川崎F,大宮,11.4,69,11149,2006-04-16 15:05:00,8,26232,6,2,1,2
9261,磐田,広島,18.2,42,11788,2006-04-16 15:04:00,8,15165,17,2,0,2
9262,名古屋,川崎F,17.0,44,11810,2006-04-22 14:00:00,9,20223,4,1,1,1
9263,G大阪,FC東京,15.8,42,15103,2006-04-22 14:03:00,9,21000,0,1,1,2
9264,大宮,大分,18.3,28,6162,2006-04-22 15:00:00,9,21500,19,1,5,1
9265,千葉,磐田,15.8,48,15184,2006-04-22 15:05:00,9,19470,9,1,0,2
9266,京都,鹿島,16.1,50,12295,2006-04-22 15:04:00,9,20588,13,1,1,2
9267,広島,C大阪,10.1,83,6794,2006-04-22 15:04:00,9,36894,7,1,2,2
9268,清水,浦和,13.5,60,23406,2006-04-22 19:04:00,9,51697,3,1,1,2
9269,甲府,横浜FM,18.3,55,14615,2006-04-23 15:04:00,9,15859,1,2,1,2
9270,福岡,新潟,18.1,66,8667,2006-04-23 15:05:00,9,22331,14,2,0,3
9271,鹿島,福岡,18.8,53,13450,2006-04-29 15:00:00,10,38620,12,1,1,1
9272,浦和,大宮,16.1,70,54774,2006-04-29 15:04:00,10,62010,5,1,11,3
9273,川崎F,清水,15.8,76,13300,2006-04-29 15:00:00,10,26232,6,1,6,1
9274,横浜FM,広島,16.3,78,20232,2006-04-29 15:06:00,10,71624,8,1,1,2
9275,C大阪,京都,17.8,48,20268,2006-04-29 15:02:00,10,47853,16,1,0,2
9276,大分,千葉,21.6,61,20543,2006-04-29 15:04:00,10,31997,15,1,5,1
9277,FC東京,名古屋,15.2,70,22188,2006-04-29 19:04:00,10,47851,2,1,1,2
9278,磐田,甲府,21.8,63,14642,2006-04-30 13:04:00,10,15165,17,2,0,4
9279,新潟,G大阪,19.3,42,41430,2006-04-30 15:04:00,10,41684,10,2,2,2
9280,甲府,FC東京,22.4,31,15427,2006-05-03 14:04:00,11,15859,1,1,0,3
9281,鹿島,大分,15.8,46,22948,2006-05-03 15:04:00,11,38620,12,1,0,2
9282,清水,C大阪,17.8,51,18241,2006-05-03 15:04:00,11,20248,11,1,5,3
9283,京都,新潟,22.8,27,11221,2006-05-03 15:04:00,11,20588,13,1,0,2
9284,福岡,川崎F,17.1,54,11101,2006-05-03 15:00:00,11,22331,14,1,0,1
9285,大宮,広島,17.3,36,9031,2006-05-03 16:04:00,11,21500,19,1,0,3
9286,千葉,浦和,14.4,48,17438,2006-05-03 16:03:00,11,19470,9,1,0,3
9287,名古屋,横浜FM,14.5,67,25687,2006-05-03 19:04:00,11,43739,18,1,0,2
9288,G大阪,磐田,26.9,95,15343,2006-07-12 19:04:00,11,20261,21,2,6,2
9289,FC東京,大宮,23.2,45,25128,2006-05-06 15:04:00,12,47851,2,1,0,2
9290,横浜FM,千葉,22.2,50,32073,2006-05-06 15:04:00,12,71624,8,1,0,2
9291,磐田,名古屋,20.0,60,36376,2006-05-06 15:04:00,12,51697,3,1,1,2
9292,大分,京都,21.3,68,21874,2006-05-06 15:04:00,12,31997,15,1,3,2
9293,広島,福岡,16.4,94,12466,2006-05-06 17:06:00,12,36894,7,1,2,2
9294,新潟,清水,17.3,66,42056,2006-05-06 19:04:00,12,41684,10,1,10,2
9295,G大阪,甲府,21.4,42,18193,2006-05-06 19:05:00,12,21000,0,1,4,2
9296,浦和,鹿島,19.6,79,56982,2006-05-07 15:04:00,12,62010,5,2,2,2
9298,鹿島,川崎F,21.4,80,7427,2006-07-19 19:04:00,13,38620,12,1,1,2
9299,大宮,磐田,22.4,83,5806,2006-07-19 19:04:00,13,21500,19,1,1,3
9300,千葉,G大阪,21.4,85,15322,2006-07-19 19:04:00,13,19470,9,1,1,2
9301,甲府,京都,22.3,83,8025,2006-07-19 19:04:00,13,15859,1,1,1,1
9302,新潟,浦和,23.5,76,38592,2006-07-19 19:04:00,13,41684,10,1,0,1
9303,清水,横浜FM,22.6,79,10183,2006-07-19 19:02:00,13,20248,11,1,1,2
