id,temperature,humidity,attendance,match_datetime,section_encoded,venue_capacity,venue_encoded,round_encoded,weather_encoded,num_broadcasters,home_team_encoded,away_team_encoded,special_holiday,weekend
9190,8.3,40,20916,2006-03-04 16:04:00,1,21000,0,1,0,2,0,9,0,1
9191,12.9,28,14277,2006-03-05 13:00:00,1,15859,1,2,0,3,1,12,0,1
9192,12.1,35,22531,2006-03-05 13:35:00,1,47851,2,2,0,3,2,16,0,1
9193,11.6,42,28564,2006-03-05 14:04:00,1,51697,3,2,0,1,3,15,0,1
9194,13.1,32,17199,2006-03-05 14:04:00,1,20223,4,2,0,4,4,17,0,1
9195,12.6,33,13085,2006-03-05 15:03:00,1,62010,5,2,0,3,5,10,0,1
9196,13.3,34,17444,2006-03-05 15:00:00,1,26232,6,2,0,1,6,11,0,1
9197,12.4,58,17564,2006-03-05 15:06:00,1,36894,7,2,1,2,7,13,0,1
9198,12.6,34,23607,2006-03-05 15:35:00,1,71624,8,2,0,3,8,14,0,1
9199,16.0,48,56512,2006-03-11 14:04:00,2,62010,5,1,0,4,9,3,0,1
9200,15.3,51,11896,2006-03-11 15:02:00,2,19470,9,1,0,4,10,1,0,1
9201,15.4,43,40266,2006-03-11 15:04:00,2,41684,10,1,1,2,11,2,0,1
9202,13.6,70,13054,2006-03-11 15:04:00,2,20248,11,1,1,2,12,4,0,1
9203,13.8,66,22454,2006-03-11 16:03:00,2,38620,12,1,0,2,13,8,0,1
9204,16.4,50,7921,2006-03-11 16:06:00,2,20588,13,1,0,4,14,6,0,1
9205,15.4,66,12040,2006-03-11 19:04:00,2,22331,14,1,1,3,15,5,0,1
9206,9.4,54,17043,2006-03-12 14:06:00,2,31997,15,2,3,2,16,7,0,1
9207,10.6,67,30561,2006-03-12 15:06:00,2,47853,16,2,1,2,17,0,0,1
9208,14.8,44,19011,2006-03-18 14:04:00,3,47851,2,1,9,3,2,12,0,1
9209,11.6,80,10560,2006-03-18 14:03:00,3,15165,17,1,2,3,3,14,0,1
9210,8.4,87,16742,2006-03-18 14:05:00,3,36894,7,1,2,3,7,9,0,1
9211,15.3,46,9368,2006-03-18 15:01:00,3,62010,5,1,1,2,5,11,0,1
9212,14.7,39,9082,2006-03-18 15:04:00,3,15859,1,1,1,2,1,6,0,1
9213,10.3,73,22651,2006-03-18 15:33:00,3,43739,18,1,3,2,4,13,0,1
9214,13.9,58,8567,2006-03-18 16:04:00,3,19470,9,1,4,1,10,15,0,1
9215,12.3,76,19307,2006-03-18 16:05:00,3,71624,8,1,2,2,8,17,0,1
9216,9.0,79,8388,2006-03-18 19:04:00,3,21000,0,1,2,2,0,16,0,1
9217,15.3,24,14815,2006-03-21 14:04:00,4,38620,12,1,0,2,13,1,1,0
9218,12.5,47,8585,2006-03-21 14:04:00,4,22331,14,1,4,3,15,4,1,0
9219,16.5,25,43815,2006-03-21 15:04:00,4,62010,5,1,0,3,9,17,1,0
9220,7.3,43,37585,2006-03-21 15:01:00,4,41684,10,1,1,2,11,3,1,0
9221,13.9,32,12114,2006-03-21 15:04:00,4,20248,11,1,0,2,12,10,1,0
9222,13.4,50,17341,2006-03-21 15:04:00,4,31997,15,1,9,1,16,8,1,0
9223,16.4,24,14191,2006-03-21 16:04:00,4,26232,6,1,0,2,6,2,1,0
