id,home_team_player11,home_team_player10,home_team_player9,home_team_player8,home_team_player7,home_team_player6,home_team_player5,home_team_player4,home_team_player3,home_team_player2,home_team_player1,home_team_score,away_team_score,away_team_player1,away_team_player2,away_team_player3,away_team_player4,away_team_player5,away_team_player6,away_team_player7,away_team_player8,away_team_player9,away_team_player10,away_team_player11
9190,9 マグノアウベス FW,8 フェルナンジーニョ FW,10 二川孝広 MF,7 遠藤保仁 MF,27 橋本英郎 MF,17 明神智和 MF,14 家長昭博 DF,6 山口智 DF,2 シジクレイ DF,21 加地亮 DF,22 藤ヶ谷陽介 GK,1,1,23 都築龍太 GK,2 坪井慶介 DF,4 田中マルクス闘莉王 DF,20 堀之内聖 DF,6 山田暢久 MF,17 長谷部誠 MF,13 鈴木啓太 MF,8 三都主アレサンドロ MF,18 小野伸二 MF,10 ポンテ FW,21 ワシントン FW
9191,18 長谷川太郎 FW,16 バレー FW,11 宇留野純 FW,31 林健太郎 MF,25 鈴木健太 MF,8 倉貫一毅 MF,4 山本英臣 DF,20 ビジュ DF,15 アライール DF,32 杉山新 DF,1 阿部謙作 GK,0,2,21 西部洋平 GK,25 市川大祐 DF,26 青山直晃 DF,4 高木和道 DF,3 山西尊裕 DF,13 兵働昭弘 MF,7 伊東輝悦 MF,16 枝村匠馬 MF,10 藤本淳吾 MF,18 チョジェジン FW,17 マルキーニョス FW
9192,9 ルーカス FW,21 サササルセード FW,35 リチェーリ FW,6 今野泰幸 MF,23 梶山陽平 MF,19 伊野波雅彦 MF,15 鈴木規郎 DF,5 増嶋竜也 DF,2 茂庭照幸 DF,25 徳永悠平 DF,1 土肥洋一 GK,2,0,1 西川周作 GK,2 三木隆司 DF,4 深谷友基 DF,22 上本大海 DF,5 エジミウソン MF,11 トゥーリオ MF,6 梅田高志 MF,17 根本裕一 MF,26 内村圭宏 MF,13 高松大樹 FW,9 オズマール FW
9193,15 西野泰正 FW,22 カレンロバート FW,7 名波浩 MF,14 村井慎二 MF,23 福西崇史 MF,25 ファブリシオ MF,11 西紀寛 MF,6 服部年宏 DF,5 田中誠 DF,2 鈴木秀人 DF,1 川口能活 GK,1,1,1 水谷雄一 GK,22 中村北斗 DF,4 金古聖司 DF,5 千代反田充 DF,3 アレックス DF,7 宮崎光平 MF,6 布部陽功 MF,8 ホベルト MF,14 古賀誠史 MF,27 田中佑昌 FW,36 グラウシオ FW
9194,19 杉本恵太 FW,11 玉田圭司 FW,27 片山奨典 MF,7 中村直志 MF,14 吉村圭司 MF,8 金正友 MF,6 有村光史 DF,29 深津康太 DF,5 古賀正紘 DF,4 大森征之 DF,22 川島永嗣 GK,3,2,22 吉田宗弘 GK,2 ブルーノクアドロス DF,5 前田和哉 DF,3 柳本啓成 DF,4 河村崇大 MF,23 下村東美 MF,10 ピンゴ MF,6 ゼカルロス MF,8 森島寛晃 FW,20 西澤明訓 FW,9 古橋達弥 FW
9195,10 マルティネス FW,8 小林大悟 FW,11 藤本主税 MF,16 久永辰徳 MF,32 小林慶行 MF,5 冨田大介 MF,17 土屋征夫 DF,2 奥野誠一郎 DF,4 トニーニョ DF,22 波戸康広 DF,20 荒谷弘樹 GK,4,2,1 立石智紀 GK,3 斎藤大輔 DF,5 ストヤノフ DF,2 坂本將貴 MF,6 阿部勇樹 MF,7 佐藤勇人 MF,16 山岸智 MF,8 水野晃樹 MF,22 羽生直剛 MF,10 ハース FW,18 巻誠一郎 FW
9196,10 ジュニーニョ FW,9 我那覇和樹 FW,11 マルクス MF,6 マルコン MF,29 谷口博之 MF,14 中村憲剛 MF,20 長橋康弘 MF,2 伊藤宏樹 DF,13 寺田周平 DF,5 箕輪義信 DF,21 相澤貴志 GK,6,0,21 野澤洋輔 GK,17 海本幸治郎 DF,19 海本慶治 DF,26 中野洋司 DF,5 梅山修 DF,16 寺川能人 MF,15 本間勲 MF,8 シルビーニョ MF,18 鈴木慎吾 MF,10 エジミウソン FW,11 矢野貴章 FW
9197,11 佐藤寿人 FW,10 ウェズレイ FW,7 森﨑浩司 MF,8 森﨑和幸 MF,14 戸田和幸 MF,6 ベット MF,17 服部公太 DF,3 小村徳男 DF,4 ジニーニョ DF,5 駒野友一 DF,1 下田崇 GK,3,4,1 小澤英明 GK,20 内田篤人 DF,3 岩政大樹 DF,4 大岩剛 DF,7 新井場徹 DF,24 青木剛 MF,26 増田誓志 MF,8 小笠原満男 MF,10 本山雅志 MF,11 深井正樹 FW,13 柳沢敦 FW
9198,19 マルケス FW,9 久保竜彦 FW,14 奥大介 MF,5 ドゥトラ MF,8 マグロン MF,6 上野良治 MF,17 吉田孝行 MF,22 中澤佑二 DF,30 栗原勇蔵 DF,3 松田直樹 DF,1 榎本達也 GK,4,1,26 西村弘司 GK,4 鈴木和裕 DF,3 リカルド DF,2 鈴木悟 DF,7 児玉新 DF,18 米田兼一郎 MF,16 斉藤大介 MF,11 星大輔 MF,14 中払大介 MF,10 パウリーニョ FW,31 田原豊 FW
9199,21 ワシントン FW,10 ポンテ FW,18 小野伸二 MF,8 三都主アレサンドロ MF,13 鈴木啓太 MF,17 長谷部誠 MF,6 山田暢久 MF,20 堀之内聖 DF,4 田中マルクス闘莉王 DF,2 坪井慶介 DF,23 都築龍太 GK,3,1,1 川口能活 GK,2 鈴木秀人 DF,5 田中誠 DF,20 金珍圭 DF,6 服部年宏 DF,11 西紀寛 MF,8 菊地直哉 MF,25 ファブリシオ MF,14 村井慎二 MF,7 名波浩 MF,22 カレンロバート FW
