id,round,home_team,away_team,weather,temperature,humidity,broadcasters,attendance,match_datetime,section_encoded,venue_capacity,venue_encoded
9190,第1日,G大阪,浦和,晴,8.3,40,NHK総合/J SPORTS(録),20916,2006-03-04 16:04:00,1,21000,0
9191,第2日,甲府,清水,晴,12.9,28,山梨放送/テレビ静岡(録)/J SPORTS(録),14277,2006-03-05 13:00:00,1,15859,1
9192,第2日,FC東京,大分,晴,12.1,35,BS-i/MXテレビ(録)/J SPORTS(録),22531,2006-03-05 13:35:00,1,47851,2
9193,第2日,磐田,福岡,晴,11.6,42,J SPORTS,28564,2006-03-05 14:04:00,1,51697,3
9194,第2日,名古屋,C大阪,晴,13.1,32,スカイパーフェクTV!/NHK名古屋(録)/NHK大阪(録)/J SPORTS(録),17199,2006-03-05 14:04:00,1,20223,4
9195,第2日,大宮,千葉,晴,12.6,33,テレビ埼玉/BS(録)/J SPORTS(録),13085,2006-03-05 15:03:00,1,62010,5
9196,第2日,川崎F,新潟,晴,13.3,34,J SPORTS(録),17444,2006-03-05 15:00:00,1,26232,6
9197,第2日,広島,鹿島,曇,12.4,58,BS/J SPORTS(録),17564,2006-03-05 15:06:00,1,36894,7
9198,第2日,横浜FM,京都,晴,12.6,34,BS-i/KBS京都(録)/J SPORTS(録),23607,2006-03-05 15:35:00,1,71624,8
9199,第1日,浦和,磐田,晴,16.0,48,TBS(単)/静岡放送/テレビ埼玉(録)/J SPORTS(録),56512,2006-03-11 14:04:00,2,62010,5
9200,第1日,千葉,甲府,晴,15.3,51,スカイパーフェクTV!/千葉テレビ(録)/山梨放送(録)/J SPORTS(録),11896,2006-03-11 15:02:00,2,19470,9
9201,第1日,新潟,FC東京,曇,15.4,43,BS/J SPORTS(録),40266,2006-03-11 15:04:00,2,41684,10
9202,第1日,清水,名古屋,曇,13.6,70,テレビ静岡/J SPORTS,13054,2006-03-11 15:04:00,2,20248,11
9203,第1日,鹿島,横浜FM,晴,13.8,66,NHK総合/J SPORTS(録),22454,2006-03-11 16:03:00,2,38620,12
9204,第1日,京都,川崎F,晴,16.4,50,NHK大阪/BS-i/KBS京都(録)/J SPORTS(録),7921,2006-03-11 16:06:00,2,20588,13
9205,第1日,福岡,大宮,曇,15.4,66,BS/テレビ西日本(録)/J SPORTS(録),12040,2006-03-11 19:04:00,2,22331,14
9206,第2日,大分,広島,屋内,9.4,54,BS-i/J SPORTS(録),17043,2006-03-12 14:06:00,2,31997,15
9207,第2日,C大阪,G大阪,曇,10.6,67,BS/J SPORTS(録),30561,2006-03-12 15:06:00,2,47853,16
9208,第1日,FC東京,清水,曇時々晴,14.8,44,BS-i/MXテレビ(録)/J SPORTS(録),19011,2006-03-18 14:04:00,3,47851,2
9209,第1日,磐田,京都,雨,11.6,80,静岡放送/KBS京都(録)/J SPORTS(録),10560,2006-03-18 14:03:00,3,15165,17
9210,第1日,広島,浦和,雨,8.4,87,NHK広島/スカイパーフェクTV!/J SPORTS(録),16742,2006-03-18 14:05:00,3,36894,7
9211,第1日,大宮,新潟,曇,15.3,46,テレビ埼玉(録)/J SPORTS(録),9368,2006-03-18 15:01:00,3,62010,5
9212,第1日,甲府,川崎F,曇,14.7,39,BS/J SPORTS(録),9082,2006-03-18 15:04:00,3,15859,1
9213,第1日,名古屋,鹿島,屋内,10.3,73,名古屋テレビ/J SPORTS(録),22651,2006-03-18 15:33:00,3,43739,18
9214,第1日,千葉,福岡,曇のち雨,13.9,58,J SPORTS,8567,2006-03-18 16:04:00,3,19470,9
9215,第1日,横浜FM,C大阪,雨,12.3,76,BS-i/J SPORTS(録),19307,2006-03-18 16:05:00,3,71624,8
9216,第1日,G大阪,大分,雨,9.0,79,BS/J SPORTS(録),8388,2006-03-18 19:04:00,3,21000,0
9217,第1日,鹿島,甲府,晴,15.3,24,BS-i/J SPORTS(録),14815,2006-03-21 14:04:00,4,38620,12
9218,第1日,福岡,名古屋,曇のち雨,12.5,47,NHK福岡/NHK名古屋/J SPORTS(録),8585,2006-03-21 14:04:00,4,22331,14
9219,第1日,浦和,C大阪,晴,16.5,25,BS/テレビ埼玉(録)/J SPORTS(録),43815,2006-03-21 15:04:00,4,62010,5
9220,第1日,新潟,磐田,曇,7.3,43,新潟テレビ21/J SPORTS(録),37585,2006-03-21 15:01:00,4,41684,10
9221,第1日,清水,千葉,晴,13.9,32,テレビ静岡/J SPORTS(録),12114,2006-03-21 15:04:00,4,20248,11
9222,第1日,大分,横浜FM,曇時々晴,13.4,50,J SPORTS,17341,2006-03-21 15:04:00,4,31997,15
9223,第1日,川崎F,FC東京,晴,16.4,24,BS-i/J SPORTS(録),14191,2006-03-21 16:04:00,4,26232,6
9224,第1日,京都,広島,晴,9.1,66,BS/KBS京都(録)/J SPORTS(録),5556,2006-03-21 19:04:00,4,20588,13
9225,第2日,G大阪,大宮,曇,5.9,42,スカイパーフェクTV!/J SPORTS(録),9019,2006-03-29 19:02:00,4,21000,0
9226,第1日,大宮,清水,晴,15.3,31,J SPORTS(録),7354,2006-03-25 15:00:00,5,21500,19
9227,第1日,磐田,川崎F,晴,13.6,58,BS/J SPORTS(録),11835,2006-03-25 15:04:00,5,15165,17
9228,第1日,C大阪,新潟,晴,12.8,30,スカイパーフェクTV!/J SPORTS(録),9442,2006-03-25 15:02:00,5,47853,16
9229,第1日,広島,G大阪,晴,14.3,29,J SPORTS,13067,2006-03-25 15:04:00,5,36894,7
9230,第1日,横浜FM,浦和,晴,13.9,45,TBS(単)/J SPORTS(録),50572,2006-03-25 15:34:00,5,71624,8
9231,第1日,甲府,福岡,晴,11.4,46,BS-i/J SPORTS(録),8604,2006-03-25 18:05:00,5,15859,1
