id,match_date,kick_off_time,section,round,home_team,away_team,venue,weather,temperature,humidity,broadcasters,attendance
9190,2006-03-04,16:04,第1節,第1日,G大阪,浦和,万博記念競技場,晴,8.3,40,NHK総合/J SPORTS(録),20916
9191,2006-03-05,13:00,第1節,第2日,甲府,清水,山梨県小瀬スポーツ公園陸上競技場,晴,12.9,28,山梨放送/テレビ静岡(録)/J SPORTS(録),14277
9192,2006-03-05,13:35,第1節,第2日,FC東京,大分,味の素スタジアム,晴,12.1,35,BS-i/MXテレビ(録)/J SPORTS(録),22531
9193,2006-03-05,14:04,第1節,第2日,磐田,福岡,静岡スタジアムエコパ,晴,11.6,42,J SPORTS,28564
9194,2006-03-05,14:04,第1節,第2日,名古屋,C大阪,名古屋市瑞穂陸上競技場,晴,13.1,32,スカイパーフェクTV!/NHK名古屋(録)/NHK大阪(録)/J SPORTS(録),17199
9195,2006-03-05,15:03,第1節,第2日,大宮,千葉,埼玉スタジアム2002,晴,12.6,33,テレビ埼玉/BS(録)/J SPORTS(録),13085
9196,2006-03-05,15:00,第1節,第2日,川崎F,新潟,等々力陸上競技場,晴,13.3,34,J SPORTS(録),17444
9197,2006-03-05,15:06,第1節,第2日,広島,鹿島,広島ビッグアーチ,曇,12.4,58,BS/J SPORTS(録),17564
9198,2006-03-05,15:35,第1節,第2日,横浜FM,京都,日産スタジアム,晴,12.6,34,BS-i/KBS京都(録)/J SPORTS(録),23607
9199,2006-03-11,14:04,第2節,第1日,浦和,磐田,埼玉スタジアム2002,晴,16.0,48,TBS(単)/静岡放送/テレビ埼玉(録)/J SPORTS(録),56512
9200,2006-03-11,15:02,第2節,第1日,千葉,甲府,フクダ電子アリーナ,晴,15.3,51,スカイパーフェクTV!/千葉テレビ(録)/山梨放送(録)/J SPORTS(録),11896
9201,2006-03-11,15:04,第2節,第1日,新潟,FC東京,新潟スタジアム,曇,15.4,43,BS/J SPORTS(録),40266
9202,2006-03-11,15:04,第2節,第1日,清水,名古屋,日本平スタジアム,曇,13.6,70,テレビ静岡/J SPORTS,13054
9203,2006-03-11,16:03,第2節,第1日,鹿島,横浜FM,県立カシマサッカースタジアム,晴,13.8,66,NHK総合/J SPORTS(録),22454
9204,2006-03-11,16:06,第2節,第1日,京都,川崎F,京都市西京極総合運動公園陸上競技場兼球技場,晴,16.4,50,NHK大阪/BS-i/KBS京都(録)/J SPORTS(録),7921
9205,2006-03-11,19:04,第2節,第1日,福岡,大宮,東平尾公園博多の森球技場,曇,15.4,66,BS/テレビ西日本(録)/J SPORTS(録),12040
9206,2006-03-12,14:06,第2節,第2日,大分,広島,九州石油ドーム,屋内,9.4,54,BS-i/J SPORTS(録),17043
9207,2006-03-12,15:06,第2節,第2日,C大阪,G大阪,大阪長居スタジアム,曇,10.6,67,BS/J SPORTS(録),30561
9208,2006-03-18,14:04,第3節,第1日,FC東京,清水,味の素スタジアム,曇時々晴,14.8,44,BS-i/MXテレビ(録)/J SPORTS(録),19011
9209,2006-03-18,14:03,第3節,第1日,磐田,京都,ヤマハスタジアム(磐田),雨,11.6,80,静岡放送/KBS京都(録)/J SPORTS(録),10560
9210,2006-03-18,14:05,第3節,第1日,広島,浦和,広島ビッグアーチ,雨,8.4,87,NHK広島/スカイパーフェクTV!/J SPORTS(録),16742
9211,2006-03-18,15:01,第3節,第1日,大宮,新潟,埼玉スタジアム2002,曇,15.3,46,テレビ埼玉(録)/J SPORTS(録),9368
9212,2006-03-18,15:04,第3節,第1日,甲府,川崎F,山梨県小瀬スポーツ公園陸上競技場,曇,14.7,39,BS/J SPORTS(録),9082
9213,2006-03-18,15:33,第3節,第1日,名古屋,鹿島,豊田スタジアム,屋内,10.3,73,名古屋テレビ/J SPORTS(録),22651
9214,2006-03-18,16:04,第3節,第1日,千葉,福岡,フクダ電子アリーナ,曇のち雨,13.9,58,J SPORTS,8567
9215,2006-03-18,16:05,第3節,第1日,横浜FM,C大阪,日産スタジアム,雨,12.3,76,BS-i/J SPORTS(録),19307
9216,2006-03-18,19:04,第3節,第1日,G大阪,大分,万博記念競技場,雨,9.0,79,BS/J SPORTS(録),8388
9217,2006-03-21,14:04,第4節,第1日,鹿島,甲府,県立カシマサッカースタジアム,晴,15.3,24,BS-i/J SPORTS(録),14815
9218,2006-03-21,14:04,第4節,第1日,福岡,名古屋,東平尾公園博多の森球技場,曇のち雨,12.5,47,NHK福岡/NHK名古屋/J SPORTS(録),8585
9219,2006-03-21,15:04,第4節,第1日,浦和,C大阪,埼玉スタジアム2002,晴,16.5,25,BS/テレビ埼玉(録)/J SPORTS(録),43815
9220,2006-03-21,15:01,第4節,第1日,新潟,磐田,新潟スタジアム,曇,7.3,43,新潟テレビ21/J SPORTS(録),37585
9221,2006-03-21,15:04,第4節,第1日,清水,千葉,日本平スタジアム,晴,13.9,32,テレビ静岡/J SPORTS(録),12114
9222,2006-03-21,15:04,第4節,第1日,大分,横浜FM,九州石油ドーム,曇時々晴,13.4,50,J SPORTS,17341
9223,2006-03-21,16:04,第4節,第1日,川崎F,FC東京,等々力陸上競技場,晴,16.4,24,BS-i/J SPORTS(録),14191
9224,2006-03-21,19:04,第4節,第1日,京都,広島,京都市西京極総合運動公園陸上競技場兼球技場,晴,9.1,66,BS/KBS京都(録)/J SPORTS(録),5556
9225,2006-03-29,19:02,第4節,第2日,G大阪,大宮,万博記念競技場,曇,5.9,42,スカイパーフェクTV!/J SPORTS(録),9019
9226,2006-03-25,15:00,第5節,第1日,大宮,清水,さいたま市浦和駒場スタジアム,晴,15.3,31,J SPORTS(録),7354
9227,2006-03-25,15:04,第5節,第1日,磐田,川崎F,ヤマハスタジアム(磐田),晴,13.6,58,BS/J SPORTS(録),11835
9228,2006-03-25,15:02,第5節,第1日,C大阪,新潟,大阪長居スタジアム,晴,12.8,30,スカイパーフェクTV!/J SPORTS(録),9442
9229,2006-03-25,15:04,第5節,第1日,広島,G大阪,広島ビッグアーチ,晴,14.3,29,J SPORTS,13067
9230,2006-03-25,15:34,第5節,第1日,横浜FM,浦和,日産スタジアム,晴,13.9,45,TBS(単)/J SPORTS(録),50572
9231,2006-03-25,18:05,第5節,第1日,甲府,福岡,山梨県小瀬スポーツ公園陸上競技場,晴,11.4,46,BS-i/J SPORTS(録),8604
9232,2006-03-25,19:04,第5節,第1日,千葉,鹿島,フクダ電子アリーナ,晴,9.9,63,BS/J SPORTS(録),16546
9233,2006-03-26,14:05,第5節,第2日,名古屋,大分,名古屋市瑞穂陸上競技場,晴,15.9,44,BS-i/中京テレビ(録)/J SPORTS(録),11878
9234,2006-03-26,16:04,第5節,第2日,FC東京,京都,味の素スタジアム,曇,16.1,38,BS/KBS京都(録)/J SPORTS(録),17033
9235,2006-04-01,15:02,第6節,第1日,横浜FM,FC東京,日産スタジアム,晴,13.8,46,スカイパーフェクTV!/J SPORTS(録),20977
