venue,capacity,address
札幌ドーム,38794,北海道札幌市豊平区羊ヶ丘1
埼玉スタジアム2002,62010,埼玉県さいたま市緑区中野田500
味の素スタジアム,47851,東京都調布市西町376−3
町田GIONスタジアム,15320,東京都町田市野津田町2035
日産スタジアム,71624,神奈川県横浜市港北区小机町3300
デンカビッグスワンスタジアム,41684,新潟県新潟市中央区清五郎67−12
豊田スタジアム,43739,愛知県豊田市千石町7丁目2
パナソニック スタジアム 吹田,39694,大阪府吹田市千里万博公園3−3
ノエビアスタジアム神戸,29913,兵庫県神戸市兵庫区御崎町1丁目2−2
ベスト電器スタジアム,21562,福岡県福岡市博多区東平尾公園2丁目1−1
県立カシマサッカースタジアム,38620,茨城県鹿嶋市神向寺後山26−2
三協フロンテア柏スタジアム,15109,千葉県柏市日立台1丁目2−50
Uvanceとどろきスタジアム by Fujitsu,26827,神奈川県川崎市中原区等々力1−1
レモンガススタジアム平塚,15380,神奈川県平塚市大原1−1
ヤマハスタジアム(磐田),15165,静岡県磐田市新貝2500
サンガスタジアム by KYOCERA,21623,京都府亀岡市亀岡駅北1丁目8番地2
ヨドコウ桜スタジアム,24481,大阪府大阪市東住吉区長居公園1−1
エディオンピースウイング広島,28347,広島県広島市中区基町15−2−1
駅前不動産スタジアム,20805,佐賀県鳥栖市京町812
ユアテックスタジアム仙台,19526,宮城県仙台市泉区七北田柳78
NDソフトスタジアム山形,20638,山形県天童市山王1−1
ケーズデンキスタジアム水戸,10152,茨城県水戸市小吹町 2058 1
正田醤油スタジアム群馬,15190,群馬県前橋市敷島町66
ニッパツ三ツ沢球技場,15442,神奈川県横浜市神奈川区三ツ沢西町3−1
IAIスタジアム日本平,19594,静岡県静岡市清水区村松3880−1
シティライトスタジアム,15479,岡山県岡山市北区いずみ町2−1−11
鳴門・大塚スポーツパーク ポカリスエットスタジアム,17924,徳島県鳴門市撫養町立岩四枚
トランスコスモススタジアム長崎,20258,長崎県諫早市宇都町27−1
レゾナックドーム大分,31997,大分県大分市横尾1351
ソユースタジアム,18560,秋田県秋田市八橋運動公園1−10
ハワイアンズスタジアムいわき,5048,福島県いわき市常磐水野谷町竜ケ沢308
カンセキスタジアムとちぎ,24670,栃木県宇都宮市西川田4丁目1−1
フクダ電子アリーナ,19470,千葉県千葉市中央区川崎町1−20
JIT リサイクルインク スタジアム,15853,山梨県甲府市小瀬町840
藤枝総合運動公園サッカー場,10057,静岡県藤枝市原100番地
維新みらいふスタジアム,15115,山口県山口市維新公園4丁目4−1
ニンジニアスタジアム,20919,愛媛県松山市上野町乙46
えがお健康スタジアム,30275,熊本県熊本市東区平山町2776 2776番地
白波スタジアム,12606,鹿児島県鹿児島市与次郎2丁目2−2
プライフーズスタジアム,5124,青森県八戸市市川町市川後55−1
とうほう・みんなのスタジアム,5710,福島県福島市佐原神事場1
サンプロ アルウィン,20336,長野県松本市神林5300
富山県総合運動公園陸上競技場,18588,富山県富山市南中田368
愛鷹広域公園多目的競技場,5104,静岡県沼津市足高202
東大阪市花園ラグビー場,26443,大阪府東大阪市松原南1丁目1−1
Axisバードスタジアム,11999,鳥取県鳥取市蔵田423
今治里山スタジアム,5316,愛媛県今治市高橋ふれあいの丘1−3
いちご宮崎新富サッカー場,5360,宮崎県児湯郡新富町三納代1586
いわぎんスタジアム,5046,岩手県盛岡市永井8−65
NACK5スタジアム大宮,15491,埼玉県さいたま市大宮区高鼻町4丁目
相模原ギオンスタジアム,6259,神奈川県相模原市南区下溝4169
長野Uスタジアム,15515,長野県長野市篠ノ井東福寺320
金沢ゴーゴーカレースタジアム,10728,石川県金沢市磯部町ニ25−1
岐阜メモリアルセンター長良川競技場,16310,岐阜県岐阜市長良福光大野2675-28
ロートフィールド奈良,5369,奈良県奈良市法蓮佐保山4丁目5−1
Pikaraスタジアム,22338,香川県丸亀市金倉町830
ミクニワールドスタジアム北九州,15300,福岡県北九州市小倉北区浅野3丁目9−33
タピック県総ひやごんスタジアム,10189,沖縄県沖縄市比屋根5丁目3−1
エディオンスタジアム広島,36894,広島県広島市安佐南区大塚西5丁目1−1
ベストアメニティスタジアム,24130,佐賀県鳥栖市京町812
ヤンマースタジアム長居,50000,大阪府大阪市東住吉区長居公園1-1
市立吹田サッカースタジアム,40000,大阪府吹田市千里万博公園3−3
レベルファイブスタジアム,21562,福岡県福岡市博多区東平尾公園2丁目1−1
町田市立陸上競技場,15489,東京都町田市野津田町2035
鳴門・大塚スポーツパークポカリスエットスタジアム,17924,徳島県鳴門市撫養町立岩四枚
パロマ瑞穂スタジアム,27000,愛知県名古屋市瑞穂区山下通5丁目1
京都市西京極総合運動公園陸上競技場兼球技場,20588,京都府京都市右京区西京極新明町29
山梨中銀スタジアム,17000,山梨県甲府市小瀬町840
Shonan BMW スタジアム平塚,15380,神奈川県平塚市大原1−1
日立柏サッカー場,15349,千葉県柏市日立台1-2-50
等々力陸上競技場,26232,神奈川県川崎市中原区等々力1−1
維新百年記念公園陸上競技場,26232,山口県山口市維新公園4丁目1−1
大分銀行ドーム,40000,大分県大分市横尾1351
石川県西部緑地公園陸上競技場,20261,石川県金沢市袋畠町南136
キンチョウスタジアム,24481,大阪府大阪市東住吉区長居公園1−1
松本平広域公園総合球技場,20396,長野県松本市神林5300
エコパスタジアム,50889,静岡県袋井市愛野2300−1
駒沢オリンピック公園総合運動場陸上競技場,17924,東京都世田谷区駒沢公園1−1
味の素フィールド西が丘,7258,東京都北区西が丘3丁目15−1
下関市営下関陸上競技場,23939,山口県下関市向洋町1丁目10−1
